epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.418925,0.517956,1.33948,0.46940,
002,0.902939,0.321733,0.89469,0.31260,
003,0.721083,0.252889,0.99409,0.33120,
004,0.616291,0.214422,0.76233,0.25460,
005,0.543545,0.188244,0.62215,0.21860,
